configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1205812,0m1.139s
1,tiff,1,1,0,1,1205577,0m1.147s
10,png,1,0,1,1,1349671,0m2.496s
11,png,1,0,0,1,1349678,0m2.541s
12,png,0,1,0,0,3177548,0m5.014s
13,png,0,0,0,0,3177558,0m5.007s
14,png,0,0,0,1,3178108,0m4.975s
15,png,0,1,1,0,3177526,0m4.982s
2,tiff,1,0,1,1,1205584,0m1.189s
3,tiff,1,0,0,1,1205567,0m1.137s
4,tiff,0,1,0,0,3875957,0m1.324s
5,tiff,0,0,0,0,3875940,0m1.311s
6,tiff,0,0,0,1,3876304,0m1.324s
7,tiff,0,1,1,0,3875980,0m1.302s
8,png,1,1,1,1,1349682,0m2.520s
9,png,1,1,0,1,1349684,0m2.555s
