,--with-select_module,--with-poll_module,--with-threads,--with-file-aio,--with-http_ssl_module,--with-http_v2_module,--with-http_realip_module,--with-http_addition_module,--with-http_xslt_module,--with-http_xslt_module=dynamic,--with-http_image_filter_module,--with-http_image_filter_module=dynamic,--with-http_geoip_module,--with-http_geoip_module=dynamic,--with-http_sub_module,--with-http_dav_module,--with-http_flv_module,--with-http_mp4_module,--with-http_gunzip_module,--with-http_gzip_static_module,--with-http_auth_request_module,--with-http_random_index_module,--with-http_secure_link_module,--with-http_degradation_module,--with-http_slice_module,--with-http_stub_status_module,--with-http_perl_module=dynamic,--with-mail,--with-mail=dynamic,--with-mail_ssl_module,--with-stream,--with-stream=dynamic,--with-stream_ssl_module,--with-stream_realip_module,--with-stream_geoip_module,--with-stream_geoip_module=dynamic,--with-stream_ssl_preread_module,--with-google_perftools_module,--with-compat,--with-pcre,--with-pcre-jit,--with-zlib-asm=CPU,--with-libatomic,--with-debug,--without-select_module,--without-poll_module,--without-http_charset_module,--without-http_gzip_module,--without-http_ssi_module,--without-http_userid_module,--without-http_access_module,--without-http_auth_basic_module,--without-http_mirror_module,--without-http_autoindex_module,--without-http_geo_module,--without-http_map_module,--without-http_split_clients_module,--without-http_referer_module,--without-http_rewrite_module,--without-http_proxy_module,--without-http_fastcgi_module,--without-http_uwsgi_module,--without-http_scgi_module,--without-http_grpc_module,--without-http_memcached_module,--without-http_limit_conn_module,--without-http_limit_req_module,--without-http_empty_gif_module,--without-http_browser_module,--without-http_upstream_hash_module,--without-http_upstream_ip_hash_module,--without-http_upstream_least_conn_module,--without-http_upstream_random_module,--without-http_upstream_keepalive_module,--without-http_upstream_zone_module,--without-http,--without-http-cache,--without-mail_pop3_module,--without-mail_imap_module,--without-mail_smtp_module,--without-stream_limit_conn_module,--without-stream_access_module,--without-stream_geo_module,--without-stream_map_module,--without-stream_split_clients_module,--without-stream_return_module,--without-stream_upstream_hash_module,--without-stream_upstream_least_conn_module,--without-stream_upstream_random_module,--without-stream_upstream_zone_module,binary-size,unit,nr-of-gadgets
10,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,True,True,False,True,False,False,False,False,True,True,True,True,False,False,5705280,bytes,38030
11,True,True,True,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,True,True,True,True,False,True,False,True,False,False,True,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,True,True,True,True,True,True,False,False,False,True,True,False,False,True,False,False,True,True,2187272,bytes,16856
12,True,True,True,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,True,True,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,True,True,False,True,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,1818104,bytes,14461
13,True,False,False,True,True,True,False,True,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,True,False,False,True,False,5483952,bytes,34845
14,False,True,True,True,True,True,True,False,False,True,False,False,False,False,True,True,False,True,False,True,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,2470736,bytes,18310
15,False,True,False,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,True,True,True,False,True,False,False,True,False,False,True,True,False,True,False,True,False,False,True,True,True,True,False,True,False,False,False,True,False,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,False,False,True,True,True,False,True,False,2478160,bytes,18687
16,False,False,True,False,False,True,False,True,True,False,True,False,True,True,False,True,False,True,True,True,True,False,False,False,True,False,False,True,False,False,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True,True,True,False,True,False,False,True,False,True,False,False,True,True,False,True,True,False,True,True,False,True,False,False,2059024,bytes,16073
17,True,True,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,True,True,False,False,False,True,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,True,True,False,True,True,True,False,True,True,False,True,False,False,False,False,True,False,True,True,True,False,True,False,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,1786800,bytes,14256
18,True,True,True,True,True,True,False,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,True,False,False,False,True,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,1663440,bytes,13079
19,True,False,True,True,True,True,True,False,False,False,False,False,True,True,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False,True,False,True,False,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,True,True,True,True,False,False,True,False,False,False,True,False,True,True,False,False,True,True,True,False,False,True,False,True,False,True,False,True,True,True,False,True,False,False,True,True,False,5099816,bytes,33251
20,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True,False,True,True,False,True,False,True,True,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,True,True,False,False,True,False,5692064,bytes,35470
21,True,False,False,True,True,True,True,True,False,False,True,True,False,True,False,True,False,True,True,False,True,False,True,True,True,False,True,False,True,False,False,True,False,False,False,False,True,True,True,False,False,True,True,True,True,True,False,True,True,False,True,False,False,False,True,True,True,False,False,True,False,False,True,True,False,True,False,True,True,False,False,False,True,True,False,True,False,True,True,True,True,True,True,False,False,False,True,True,True,True,1564496,bytes,12371
22,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,True,False,True,True,False,True,True,True,True,False,False,True,False,True,True,False,False,True,True,True,False,True,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,False,True,False,False,False,False,True,True,True,False,False,False,False,4610296,bytes,30366
23,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,True,False,False,True,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,4955136,bytes,32434
24,False,False,False,False,True,True,True,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,True,True,True,False,True,False,False,True,True,True,True,False,True,False,False,True,False,False,False,True,True,False,True,True,False,True,False,False,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,True,True,False,True,True,True,False,True,True,True,False,5301088,bytes,34980
25,True,False,True,False,True,False,True,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,True,True,False,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,True,True,True,False,False,True,False,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,False,False,True,True,False,False,4795392,bytes,32917
26,True,True,True,False,False,False,False,True,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,False,False,True,False,False,True,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,3882184,bytes,25949
27,False,True,False,False,True,False,False,True,False,False,False,False,True,True,True,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,True,False,False,1544504,bytes,12327
28,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,False,False,False,True,False,True,True,True,False,True,True,True,False,True,True,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,True,False,True,False,True,False,False,False,False,True,True,False,1516952,bytes,12337
29,False,False,True,True,True,True,True,False,True,True,False,True,False,True,False,True,True,False,False,True,False,True,True,True,False,False,False,True,True,True,False,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,False,False,True,True,True,False,True,False,False,True,False,False,True,True,False,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,True,True,True,False,True,True,False,True,False,False,True,True,False,False,4838576,bytes,31256
30,False,False,False,True,True,True,True,False,False,False,False,True,False,True,True,False,True,False,False,True,False,False,False,True,True,False,True,True,True,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,False,False,True,True,True,False,False,True,True,False,True,False,True,True,True,True,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,4835312,bytes,31173
31,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,True,True,True,False,True,False,False,True,False,False,True,True,True,True,True,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,3716872,bytes,23846
32,False,False,True,True,True,False,False,False,True,True,False,True,True,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,True,True,False,False,False,4741168,bytes,32801
33,False,True,True,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,True,True,True,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,True,False,False,True,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,5264240,bytes,35687
34,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,True,True,False,False,True,False,False,False,True,True,False,True,False,True,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,False,True,True,False,False,True,True,2225160,bytes,16960
35,False,True,True,True,True,True,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,True,False,True,True,True,False,False,False,True,True,False,True,True,True,False,True,True,True,False,True,True,False,True,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True,False,False,False,4862816,bytes,32117
36,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,False,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,2172784,bytes,15863
37,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,True,True,True,True,False,True,False,True,False,False,True,True,True,True,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,True,True,False,True,True,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2329808,bytes,16634
38,False,True,True,False,False,True,True,False,False,False,True,True,False,True,False,True,True,False,True,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,False,False,False,True,False,True,True,True,True,True,False,True,False,True,False,True,True,True,False,False,True,False,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,False,1820888,bytes,14591
39,True,False,False,True,False,False,True,True,True,False,False,True,False,False,True,True,True,False,True,True,False,True,False,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,False,True,True,False,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,False,False,False,True,False,False,False,True,True,False,True,True,False,False,1819200,bytes,14886
40,False,False,False,False,True,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,True,True,True,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,True,False,True,True,True,True,False,True,False,False,False,False,1738456,bytes,13956
41,False,True,False,True,False,True,True,True,True,True,True,False,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False,True,True,False,True,True,False,True,False,False,True,False,True,True,True,False,True,False,True,True,True,False,True,False,False,False,False,False,False,True,True,True,False,True,False,True,True,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,1827536,bytes,14851
42,False,False,True,True,False,True,True,False,False,True,True,False,True,True,True,True,True,True,False,True,True,False,False,False,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,False,False,False,True,False,False,True,True,True,False,False,True,True,False,True,True,False,True,True,False,False,False,True,True,False,True,False,False,False,True,False,True,True,True,False,True,True,True,True,False,False,False,False,5181320,bytes,34438
43,True,True,False,True,True,False,False,False,False,False,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,True,True,True,False,True,True,False,False,False,True,True,True,False,False,False,False,True,True,False,True,True,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False,True,True,True,True,False,True,False,False,False,False,True,True,True,False,False,False,1568696,bytes,12232
44,False,False,True,False,False,False,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,True,False,False,False,True,True,True,False,False,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,True,True,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True,True,True,False,True,False,True,False,False,False,False,True,1788224,bytes,14374
45,False,False,True,False,False,True,True,True,True,False,True,False,True,True,True,False,False,True,True,True,True,True,False,False,False,True,True,True,False,False,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,4921640,bytes,32005
46,False,False,False,True,False,False,True,True,True,True,False,True,False,False,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,True,True,False,True,True,False,True,True,False,False,False,True,False,True,False,1574496,bytes,12423
47,True,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,4948144,bytes,32472
48,True,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,True,True,True,True,False,False,True,True,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,True,False,False,True,True,True,True,True,False,True,True,False,True,True,False,False,False,True,False,False,False,True,True,True,False,False,False,True,True,True,True,False,False,4794584,bytes,30966
49,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,True,True,True,True,False,True,False,False,True,True,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,True,True,True,True,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,1540960,bytes,12378
50,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,True,True,True,False,True,False,False,False,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,False,False,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,2397848,bytes,18405
51,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,True,True,False,False,False,True,False,True,False,False,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,True,True,True,False,True,True,False,True,True,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,True,True,False,True,False,True,False,False,False,True,True,False,True,False,False,1718952,bytes,13870
52,False,False,True,False,True,False,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,True,True,False,True,False,False,True,False,True,True,False,False,False,False,True,True,True,False,True,True,False,True,True,True,True,True,True,False,True,False,True,True,False,True,False,True,False,False,True,True,False,True,True,False,False,True,False,False,True,False,True,False,True,True,False,False,False,False,4780816,bytes,31592
53,True,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,True,False,True,False,True,False,False,True,True,True,False,False,True,True,True,False,False,True,False,True,False,True,True,False,True,False,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,False,True,False,False,False,4131280,bytes,27726
54,False,True,True,False,True,False,True,True,True,False,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,False,False,True,False,False,False,False,1817720,bytes,14606
55,True,False,False,True,True,True,False,True,False,True,False,False,False,True,True,False,True,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,False,True,False,False,True,True,False,True,True,True,False,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,False,1519464,bytes,12143
56,True,False,False,False,False,False,True,True,True,True,False,True,False,True,False,True,True,False,True,True,True,False,False,True,False,False,True,True,False,False,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,True,False,False,False,True,False,True,True,True,False,True,False,True,False,False,True,False,True,False,True,True,True,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,1930552,bytes,14844
57,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,True,True,True,True,False,False,False,False,True,False,True,False,True,True,False,True,True,True,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,True,True,True,True,True,False,True,True,False,False,False,False,True,True,True,False,False,True,True,1454248,bytes,12067
58,False,True,False,False,False,False,True,False,True,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,True,True,False,True,False,True,False,False,True,True,True,True,True,False,True,True,False,False,False,False,True,True,True,True,False,False,True,True,True,False,False,True,True,False,True,False,True,False,True,False,False,True,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,True,False,True,False,False,False,4561240,bytes,28955
59,False,True,True,True,True,False,False,True,False,False,False,True,True,True,False,True,True,True,False,True,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,True,False,True,True,True,False,False,True,True,False,True,True,True,False,True,False,True,True,True,True,True,False,False,False,True,True,True,False,False,False,True,True,True,False,True,False,True,False,True,True,False,True,False,4459288,bytes,29694
60,True,True,False,True,True,True,True,True,False,True,False,False,True,True,True,True,False,True,True,False,False,True,True,True,True,True,False,True,False,False,True,True,True,False,False,True,False,True,False,False,False,True,True,True,False,True,False,True,True,True,False,False,False,False,True,True,True,False,True,False,False,False,False,False,True,True,False,True,True,True,False,True,True,True,False,False,True,False,True,False,False,True,False,True,True,True,True,True,False,False,5580336,bytes,37957
