configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1612727,0m1.368s
1,tiff,1,1,0,1,1612689,0m1.339s
10,png,1,0,1,1,1577742,0m3.137s
11,png,1,0,0,1,1577743,0m3.086s
12,png,0,1,0,0,2357304,0m5.053s
13,png,0,0,0,0,2357335,0m5.065s
14,png,0,0,0,1,2341674,0m4.867s
15,png,0,1,1,0,2357339,0m5.056s
2,tiff,1,0,1,1,1612682,0m1.356s
3,tiff,1,0,0,1,1612662,0m1.315s
4,tiff,0,1,0,0,2762590,0m1.426s
5,tiff,0,0,0,0,2762579,0m1.444s
6,tiff,0,0,0,1,2744983,0m1.382s
7,tiff,0,1,1,0,2762556,0m1.408s
8,png,1,1,1,1,1577756,0m3.077s
9,png,1,1,0,1,1577756,0m3.153s
